"(28395, 1096, 210, 37, 8, 8, 0)"
"(28396, 1096, 51, 55, 6, 6, 0)"
"(28397, 1096, 214, 173, 4, 4, 0)"
"(28398, 1096, 213, 35, 9, 9, 0)"
"(28399, 1096, 117, 55, 7, 7, 0)"
"(28400, 1096, 3, 8, 10, 10, 0)"
"(28401, 1096, 1, 159, 5, 5, 0)"
"(28402, 1096, 9, 759, 1, 1, 17)"
"(28403, 1098, 51, 0, 1, 1, 0)"
"(28404, 1098, 213, 0, 2, 2, 0)"
"(28405, 1098, 214, 0, 3, 3, 0)"
"(28406, 1098, 117, 0, 4, 4, 0)"
"(28407, 1098, 6, 0, 5, 5, 0)"
"(28408, 1098, 210, 0, 6, 6, 0)"
"(28409, 1098, 1, 0, 7, 7, 0)"
"(28410, 1098, 131, 0, 8, 8, 0)"
"(28411, 1098, 9, 0, 9, 9, 0)"
"(28412, 1098, 3, 0, 10, 10, 0)"